[Gd+3].COCCNC(=O)CN(CCN(CCN(CC([O-])=O)CC(=O)NCCOC)CC([O-])=O)CC([O-])=O smile0001
COc1ccc2CN(C)CC[C@@]34C=C[C@H](O)C[C@@H]3Oc1c24 smile0002
C[C@H](\C=C\[C@H](C)C(C)(C)O)[C@H]1CC[C@H]2\C(=C\C=C3C[C@@H](O)C[C@H](O)C3)\CCC[C@]12C smile0003
c1(n(c2c(C(=O)c3ccccc3C2=O)[n+]1Cc1cnccn1)CCOC)C smile0004
COC(=O)[C@H](c1ccccc1Cl)N2CCc3c(ccs3)C2 smile0005
[H]O[C@@H](CN1CCC(CC1)N(C)c1nc2ccccc2s1)COc1ccc(c(c1)F)F smile0006
CC(C)(C)NCC(O)COc1ccc(NC(=O)NC2CCCCC2)cc1 smile0007
Cc1cc2c(c(c1OC)O)[C@@H]3[C@@H]4[C@H]5c6c(c7c(c(c6OC(=O)C)C)OCO7)[C@@H](N4[C@H]([C@H](C2)N3C)O)COC(=O)[C@@]8(CS5)c9c(c1cc(ccc1[nH]9)OC)CCN8 smile0008
CCOC(=O)C1=C(COCCN)NC(=C(C1c2ccccc2Cl)C(=O)OC)C smile0009
[H]N=C(c1ccc(cc1)N([H])Cc1nc2cc(ccc2n1C)C(N(CCC(=O)O[H])c1ccccn1)=O)N([H])[H] smile0010
Nc1nc(Cl)nc2c1ncn2[C@H]3C[C@H](O)[C@@H](CO)O3 smile0011
COc1c(ccc2c1N=C(N3C2=NCC3)NC(=O)c4cnc(nc4)N)OCCCN5CCOCC5 smile0012
CS(=O)(=O)[N@@](N(S(=O)(=O)C)C(=O)NC)CCCl smile0013
CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)c3c[nH]c4ccccc34 smile0014
Cc1cc(ccc1[C@H]2CNCCN2C(=O)N(C)[C@H](C)c3cc(cc(c3)C(F)(F)F)C(F)(F)F)F smile0015
C1([C@@H]2[C@@]3([C@@]([C@@H]4[C@@H]([C@@]5(CC[C@@H](O[C@@H]6O[C@@H](C)[C@@H]([C@@H](C6)O)O[C@@H]6O[C@@H](C)[C@@H]([C@@H](C6)O)O[C@@H]6O[C@@H](C)[C@@H]([C@@H](C6)O)O)C[C@@H]5CC4)C)CC3)(C[C@@H]2OC(=O)C)O)C)=CC(=O)OC1 smile0016
NC(=O)C1(CCN(CCC(C#N)(c2ccccc2)c3ccccc3)CC1)N4CCCCC4 smile0017
NC(=N)Nc1nc(CSCCC(=N)NS(=O)(=O)N)cs1 smile0018
N1C(Cc2c1cccc2CCN(CCC)CCC)=O smile0019
COCCOC(=O)C1=C(C)NC(=C(C1c2cccc(c2)N(=O)=O)C(=O)OC(C)C)C smile0020
c1c2OCCc2c2[C@H](CCNC(CC)=O)CCc2c1 smile0021
C[C@H](O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I smile0022
C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](Cc3c2c(c4c(c3O)C(=O)c5cccc(c5C4=O)OC)O)(C(=O)C)O)N)O smile0023
c1cc(c2ccsc2c1)N3CCN(CC3)CCCCOc4ccc5ccc(=O)[nH]c5c4 smile0024
C(=C1\[C@@H]([N+](CC)(CC)CC1)C)(\c1ccccc1)c1ccccc1 smile0025
COc1ccc2C[C@H]3N(C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O smile0026
COc3cccc(c13)c(C(=O)N(CC2C)CCN2C)cn1CC4CCCCC4 smile0027
c1cc(c(cc1Cl)Cl)COC(Cn2ccnc2)c3ccc(cc3Cl)Cl smile0028
CCC(=O)O[C@@](Cc1ccccc1)([C@H](C)CN(C)C)c2ccccc2 smile0029
n1(c2c(nc1)[C@@H](CNC=N2)O)[C@@H]1O[C@H]([C@@H](C1)O)CO smile0030
c1(c(OC)cc2c(c1)c(nnc2)N1CCC(CC1)OC(NCC)=O)OC smile0031
CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N smile0032
c1(cc(nc(n1)Sc1ccc(cc1)NC(=O)C1CC1)N1CCN(CC1)C)Nc1n[nH]c(c1)C smile0033
CCCC(=O)N1CCCN(CC1)c2nc(N)c3cc(OC)c(OC)cc3n2 smile0034
c1(cc(c(c(c1)OC)OC)OC)/C=C\c1ccc(c(c1)OP(=O)(O)O)OC smile0035
CSCC[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc3c[nH]c4c3cccc4)C(=O)NCC(=O)O)N smile0036
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2 smile0037
CC1=C(CCN2CCC(CC2)c3noc4cc(F)ccc34)C(=O)N5CCCCC5=N1 smile0038
[C@@H]12c3n4c5c(c3CCN2CCC[C@]1(C=C4C(=O)OCC)CC)cccc5 smile0039
CCC/N=C\1/N(C(=O)/C(=C/c2ccc(c(c2)Cl)OC[C@@H](CO)O)/S1)c3ccccc3C smile0040
CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O smile0041
