,DPSA1,FNSA3,FPSA1,MW,nCl,FPSA3,nH,MOMI-X,MOMI-Y,MOMI-Z,FilterItLogS,SLogP,label
943,425.3916767594506,-0.050309460928004236,0.7050484314344776,646.2791349360011,0,0.04746374008670557,38,39585.8487268329,34476.21206815154,6023.97973126125,-10.253987186413617,6.374600000000006,1
944,-29.8180739183818,-0.14580990916631492,0.4642091427383733,263.07176227200017,0,0.05619812478117085,11,2157.691095443922,1779.1555591760516,722.5464278731065,-0.03571847623592633,-1.2886000000000004,0
945,124.71428095380779,-0.07365388565233705,0.6080891465680712,328.1786926280007,0,0.050469714204474235,24,5827.672140743633,5265.351147953824,1089.2382147334274,-3.867964816242522,2.1354,1
946,-30.45547529001962,-0.10094448275343673,0.4675638618788467,260.0507152440001,0,0.034586903594604645,12,3348.514195401948,3179.295644862393,449.91109853715307,-2.8854403083921025,3.167200000000001,0
947,157.3719561551591,-0.04811764199655174,0.6536309849416684,259.1572289120001,0,0.038716346819339234,21,3218.789871365104,2641.1862438671506,908.9607175396527,-3.9149965459101272,2.577500000000001,1
948,227.4323376200369,-0.06973146925995152,0.6855808191309711,406.2137578080007,0,0.039402078869017865,34,5614.224744791202,4556.07726428518,2081.475839808818,-0.0240274356358926,-0.8569999999999969,1
949,-16.192201181599444,-0.18140106375781453,0.4779647645405522,198.05282342,0,0.07082937133622035,10,1400.9221512603344,1245.0891653571045,400.0432602924086,-0.05015858630921688,0.08579999999999999,0
950,499.2832162077618,-0.02817859097131337,0.7743821657487711,701.5091348640016,0,0.029929082163204307,67,15074.888201871549,10068.095679882337,7970.65241542638,-6.163324112082955,3.9926000000000057,1
951,29.08995549446661,-0.08344468557383708,0.5185187919252102,525.1035132160006,0,0.04535754221043295,23,17391.934582158225,16339.261020897264,2488.9875364583386,-2.081358579461107,-0.6531999999999973,0
952,-83.57805730819283,-0.07390062498923522,0.42725079951408335,402.9990097880003,0,0.03167942190918649,14,5397.252414724515,3873.6773641643927,2500.7062737187757,-4.581058515353495,4.237100000000002,1
953,104.5387630013019,-0.05753085296176162,0.6082572610456514,269.1276601000004,0,0.05381030491517592,15,3973.721012933488,3733.626479862253,421.3245528502762,-3.0702157699841632,0.3825999999999996,1
